Date,Open,Close,Change(%),High,Low
"17 Dec 2020","13,696.00","13,755.00","0.43%","13,800.00","13,695.00"
"16 Dec 2020","13,649.00","13,705.00","0.41%","13,713.00","13,625.00"
"15 Dec 2020","13,525.00","13,585.00","0.44%","13,603.00","13,461.00"
"14 Dec 2020","13,605.00","13,571.00","-0.25%","13,613.00","13,497.00"
"11 Dec 2020","13,559.00","13,523.00","-0.27%","13,602.00","13,422.00"
"10 Dec 2020","13,517.00","13,529.00","0.09%","13,547.00","13,430.00"
"09 Dec 2020","13,489.00","13,582.00","0.69%","13,593.00","13,480.00"
"08 Dec 2020","13,418.00","13,430.00","0.09%","13,476.00","13,362.00"
"07 Dec 2020","13,311.00","13,392.00","0.61%","13,406.00","13,267.00"
"04 Dec 2020","13,237.00","13,332.00","0.72%","13,332.00","13,223.00"
"03 Dec 2020","13,202.00","13,197.00","-0.04%","13,236.00","13,164.00"
"02 Dec 2020","13,162.00","13,162.00","-","13,182.00","13,026.00"
"01 Dec 2020","13,017.00","13,149.00","1.01%","13,178.00","13,008.00"
"30 Nov 2020","12,990.00","12,992.00","0.02%","12,992.00","12,820.00"
"27 Nov 2020","13,066.00","13,012.00","-0.41%","13,112.00","12,986.00"
"26 Nov 2020","12,915.00","12,923.00","0.06%","13,021.00","12,857.00"
"25 Nov 2020","13,132.00","12,890.00","-1.84%","13,137.00","12,845.00"
"24 Nov 2020","13,013.00","13,070.00","0.44%","13,080.00","13,006.00"
"23 Nov 2020","12,948.00","12,955.00","0.05%","12,982.00","12,837.00"
"21 Nov 2020","12,884.00","12,884.00","-","12,884.00","12,884.00"
"20 Nov 2020","12,847.00","12,884.00","0.29%","12,924.00","12,760.00"
"19 Nov 2020","12,913.00","12,805.00","-0.84%","12,988.00","12,766.00"
"18 Nov 2020","12,907.00","12,979.00","0.56%","12,986.00","12,847.00"
"17 Nov 2020","12,889.00","12,896.00","0.05%","12,905.00","12,814.00"
"16 Nov 2020","12,833.00","12,824.00","-0.07%","12,863.00","12,819.00"
"14 Nov 2020","12,788.00","12,808.00","0.16%","12,811.00","12,788.00"
"13 Nov 2020","12,636.00","12,767.00","1.04%","12,774.00","12,628.00"
"12 Nov 2020","12,729.00","12,709.00","-0.16%","12,759.00","12,649.00"
"11 Nov 2020","12,735.00","12,781.00","0.36%","12,796.00","12,600.00"
"10 Nov 2020","12,528.00","12,677.00","1.19%","12,700.00","12,495.00"
"09 Nov 2020","12,446.00","12,454.00","0.06%","12,472.00","12,385.00"
"06 Nov 2020","12,172.00","12,224.00","0.43%","12,278.00","12,144.00"
"05 Nov 2020","12,066.00","12,149.00","0.69%","12,160.00","12,038.00"
"04 Nov 2020","11,853.00","11,920.00","0.57%","11,942.00","11,747.00"
"03 Nov 2020","11,769.00","11,831.00","0.53%","11,845.00","11,746.00"
"02 Nov 2020","11,589.00","11,692.00","0.89%","11,729.00","11,555.00"
"30 Oct 2020","11,675.00","11,634.00","-0.35%","11,745.00","11,511.00"
"29 Oct 2020","11,650.00","11,651.00","0.01%","11,739.00","11,627.00"
"28 Oct 2020","11,870.00","11,721.00","-1.26%","11,916.00","11,676.00"
"27 Oct 2020","11,736.00","11,873.00","1.17%","11,893.00","11,728.00"
"26 Oct 2020","11,890.00","11,775.00","-0.97%","11,908.00","11,712.00"
"23 Oct 2020","11,954.00","11,943.00","-0.09%","11,978.00","11,909.00"
"22 Oct 2020","11,898.00","11,872.00","-0.22%","11,933.00","11,833.00"
"21 Oct 2020","11,984.00","11,913.00","-0.59%","12,016.00","11,771.00"
"20 Oct 2020","11,884.00","11,885.00","0.01%","11,948.00","11,871.00"
"19 Oct 2020","11,850.00","11,886.00","0.30%","11,900.00","11,822.00"
"16 Oct 2020","11,764.00","11,769.00","0.04%","11,800.00","11,677.00"
"15 Oct 2020","11,949.00","11,671.00","-2.33%","11,980.00","11,671.00"
"14 Oct 2020","11,904.00","11,942.00","0.32%","11,950.00","11,825.00"
"13 Oct 2020","11,911.00","11,944.00","0.28%","11,994.00","11,910.00"
"12 Oct 2020","12,015.00","11,945.00","-0.58%","12,015.00","11,879.00"
"09 Oct 2020","11,885.00","11,928.00","0.36%","11,954.00","11,825.00"
